idx,y_true,y_prob_rf
453,0,0.055
454,0,0.05
455,0,0.1125
456,0,0.0725
457,0,0.1025
458,0,0.03
459,0,0.2175
460,0,0.0225
461,0,0.035
462,0,0.1575
463,0,0.0825
464,0,0.045
465,1,0.105
466,0,0.045
467,0,0.1425
468,0,0.18
469,0,0.2025
470,0,0.0625
471,0,0.175
472,0,0.0775
473,0,0.0875
474,0,0.07
475,0,0.045
476,0,0.075
477,0,0.06
478,0,0.23
479,0,0.045
480,0,0.2025
481,0,0.1125
482,0,0.085
483,0,0.0325
484,0,0.11
485,0,0.1
486,0,0.0675
487,0,0.035
488,0,0.01
489,0,0.0425
490,0,0.1525
491,0,0.035
492,0,0.1075
493,0,0.05
494,0,0.025
495,1,0.175
496,1,0.0375
497,0,0.4475
498,0,0.0525
499,1,0.165
500,0,0.035
501,0,0.09
502,0,0.0475
503,0,0.19
504,0,0.215
505,0,0.0325
506,0,0.2175
507,0,0.0425
508,0,0.1725
509,0,0.0575
510,0,0.025
511,0,0.0975
512,0,0.295
513,0,0.0675
514,0,0.125
515,0,0.0825
516,0,0.005
517,0,0.0725
518,0,0.0375
519,0,0.2275
520,0,0.0875
521,0,0.055
522,0,0.035
523,0,0.0275
524,0,0.19
525,0,0.0675
526,0,0.0925
527,0,0.0725
528,0,0.1175
529,0,0.1325
530,0,0.075
531,0,0.0575
532,0,0.0275
533,0,0.045
534,0,0.015
535,0,0.1575
536,0,0.145
537,0,0.1375
538,0,0.0375
539,0,0.04
540,0,0.03
541,0,0.0125
542,0,0.06
543,0,0.0675
544,0,0.06
545,0,0.17
546,0,0.035
547,0,0.0375
548,0,0.0925
549,0,0.1625
550,0,0.1
551,0,0.055
552,0,0.0875
553,1,0.09
554,0,0.0275
555,0,0.02
556,0,0.0525
557,0,0.1375
558,0,0.0375
559,0,0.2025
560,0,0.1125
561,0,0.0825
562,0,0.1375
563,1,0.16
564,0,0.0325
565,0,0.0425
566,0,0.0075
567,0,0.0325
568,0,0.05
569,1,0.0975
570,0,0.0575
571,0,0.155
572,0,0.16
573,0,0.025
574,0,0.0575
575,0,0.0875
576,0,0.095
577,0,0.04
578,0,0.1175
579,0,0.07
580,0,0.07
581,0,0.0925
582,0,0.1375
583,0,0.185
584,1,0.23
585,1,0.0825
586,0,0.085
587,0,0.09
588,0,0.045
589,0,0.11
590,0,0.06
591,0,0.0675
592,0,0.0275
593,0,0.08
594,0,0.0325
595,0,0.0175
596,0,0.0725
597,0,0.1625
598,0,0.07
599,0,0.0425
600,0,0.045
601,0,0.1325
602,0,0.11
603,0,0.015
604,0,0.1475
605,0,0.02
606,0,0.075
607,0,0.13
608,0,0.41
609,0,0.08
610,0,0.07
611,0,0.045
612,1,0.06
613,0,0.0325
614,0,0.2
615,0,0.295
616,0,0.2825
617,0,0.06
618,0,0.0425
619,0,0.0375
620,0,0.0175
621,0,0.01
622,0,0.07
623,0,0.015
624,0,0.175
625,1,0.045
626,0,0.24
627,0,0.0125
628,0,0.305
629,0,0.085
630,1,0.055
631,0,0.015
632,0,0.0575
633,0,0.0575
634,0,0.065
635,0,0.0175
636,0,0.055
637,0,0.16
638,0,0.08
639,0,0.1525
640,0,0.045
641,0,0.015
642,0,0.0275
643,0,0.0825
644,0,0.08
645,0,0.0275
646,0,0.0825
647,0,0.035
648,0,0.0825
649,0,0.095
650,0,0.0375
651,0,0.175
652,0,0.0475
653,0,0.0475
654,0,0.0275
655,0,0.0525
656,0,0.19
657,0,0.125
658,0,0.0375
659,0,0.075
660,0,0.0575
661,0,0.1175
662,0,0.0475
663,0,0.11
664,1,0.0475
665,0,0.0675
666,0,0.15
667,0,0.1125
668,0,0.0575
669,0,0.2625
670,0,0.02
671,0,0.055
672,0,0.025
673,0,0.0375
674,0,0.205
675,0,0.0575
676,0,0.0325
677,0,0.1
678,1,0.06
679,0,0.1575
680,0,0.0825
681,0,0.0325
682,0,0.0675
683,0,0.03
684,0,0.0675
685,0,0.095
686,0,0.0275
687,0,0.0125
688,0,0.115
689,0,0.025
690,0,0.02
691,0,0.02
692,0,0.055
693,0,0.1
694,0,0.1825
695,0,0.0375
696,0,0.125
697,0,0.0475
698,1,0.275
699,0,0.1975
700,0,0.12
701,0,0.19
702,1,0.2025
703,0,0.045
704,0,0.0325
705,0,0.0475
706,0,0.15
707,0,0.0725
708,0,0.0775
709,0,0.0725
710,0,0.0425
711,0,0.03
712,0,0.025
713,0,0.2625
714,0,0.06
715,0,0.15
716,0,0.07
717,0,0.03
718,0,0.07
719,0,0.1175
720,0,0.055
721,0,0.06
722,0,0.1
723,0,0.0425
724,0,0.0275
725,0,0.04
726,1,0.09
727,0,0.0575
728,0,0.045
729,0,0.0475
730,0,0.0175
731,0,0.1775
732,0,0.1075
733,0,0.2025
734,0,0.1375
735,0,0.1925
736,0,0.13
737,0,0.0525
738,0,0.095
739,0,0.14
740,0,0.12
741,0,0.0225
742,0,0.05
743,1,0.0225
744,0,0.0125
745,0,0.2725
746,0,0.205
747,0,0.0575
748,0,0.0725
749,0,0.0325
750,0,0.0425
751,0,0.0425
752,1,0.1
753,0,0.1275
754,0,0.05
755,1,0.08
756,0,0.1675
757,0,0.3375
758,0,0.0475
759,0,0.0525
760,0,0.0075
761,0,0.1025
762,0,0.065
763,0,0.035
764,1,0.2625
765,0,0.15
766,1,0.1625
767,0,0.0675
768,0,0.0525
769,0,0.105
770,0,0.065
771,0,0.0125
772,0,0.07
773,0,0.1325
774,0,0.1225
775,0,0.18
776,0,0.0575
777,0,0.1025
778,0,0.1225
779,0,0.05
780,0,0.0475
781,0,0.0975
782,0,0.085
783,0,0.1025
784,0,0.035
785,1,0.415
786,0,0.1375
787,0,0.03
788,1,0.0875
789,0,0.0925
790,0,0.0625
791,0,0.125
792,0,0.115
793,0,0.0425
794,0,0.055
795,0,0.04
796,0,0.0625
797,1,0.1825
798,0,0.1025
799,0,0.0225
800,1,0.09
801,0,0.025
802,0,0.0825
803,0,0.0175
804,0,0.025
805,0,0.0375
806,0,0.0275
807,0,0.05
808,0,0.07
809,0,0.0075
810,0,0.075
811,0,0.23
812,0,0.205
813,0,0.1
814,0,0.0725
815,0,0.0575
816,0,0.0625
817,0,0.06
818,0,0.085
819,0,0.0475
820,0,0.12
821,0,0.08
822,0,0.0375
823,0,0.1375
824,0,0.0975
825,0,0.0625
826,0,0.1
827,0,0.135
828,0,0.07
829,0,0.18
830,0,0.1425
831,0,0.05
832,0,0.05
833,0,0.0525
834,0,0.1075
835,0,0.07
836,0,0.0475
837,0,0.09
838,1,0.2425
839,0,0.2125
840,1,0.095
841,0,0.1025
842,0,0.325
843,0,0.0375
844,0,0.0575
845,0,0.0375
846,0,0.015
847,0,0.14
848,0,0.115
849,0,0.04
850,0,0.0625
851,0,0.0975
852,0,0.105
853,0,0.055
854,0,0.105
855,0,0.2
856,0,0.0425
857,0,0.0475
858,0,0.2175
859,0,0.0325
860,0,0.0425
861,0,0.165
862,0,0.1475
863,0,0.095
864,0,0.1275
865,0,0.1525
866,0,0.26
867,0,0.13
868,0,0.0325
869,0,0.065
870,1,0.18
871,0,0.06
872,0,0.0825
873,0,0.0425
874,0,0.075
875,0,0.0125
876,0,0.0925
877,0,0.21
878,0,0.01
879,0,0.145
880,0,0.1175
881,0,0.1225
882,0,0.0725
883,0,0.0625
884,0,0.0725
885,0,0.0225
886,0,0.1275
887,0,0.0325
888,0,0.07
889,0,0.0275
890,0,0.075
891,0,0.0475
892,0,0.0175
893,0,0.0575
894,0,0.08
895,0,0.215
896,1,0.0775
897,0,0.0275
898,0,0.0275
899,0,0.0975
900,0,0.2875
901,0,0.03
902,0,0.1125
903,1,0.0275
904,0,0.0725
905,0,0.02
906,0,0.0575
907,1,0.3575
908,0,0.1975
909,0,0.1725
910,0,0.0475
911,0,0.025
912,0,0.065
913,0,0.0325
914,0,0.1275
915,0,0.24
916,0,0.13
917,0,0.0275
918,0,0.08
919,0,0.05
920,0,0.11
921,0,0.0875
922,0,0.0575
923,0,0.1475
924,0,0.21
925,0,0.01
926,0,0.0425
927,0,0.0225
928,1,0.03
929,0,0.1175
930,0,0.0375
931,0,0.0425
932,0,0.0825
933,0,0.2175
934,0,0.02
935,0,0.1225
936,0,0.0875
937,0,0.08
938,0,0.1125
939,0,0.0825
940,0,0.135
941,0,0.0375
942,0,0.1125
943,0,0.1325
944,1,0.195
945,0,0.1525
946,0,0.16
947,0,0.2525
948,0,0.0825
949,0,0.04
950,1,0.1325
951,0,0.0475
952,0,0.06
953,0,0.045
954,0,0.12
955,0,0.045
956,1,0.1
957,0,0.15
958,0,0.0275
959,0,0.255
960,0,0.07
961,0,0.1325
962,0,0.03
963,0,0.0525
964,0,0.0875
965,0,0.0275
966,0,0.0425
967,0,0.03
968,0,0.3075
969,0,0.05
970,0,0.1075
971,0,0.065
972,1,0.1075
973,0,0.105
974,0,0.0525
975,0,0.13
976,0,0.1225
977,0,0.0275
978,0,0.085
979,0,0.0325
980,0,0.025
981,0,0.1475
982,0,0.0275
983,1,0.08
984,0,0.0325
985,0,0.0775
986,0,0.0275
987,0,0.0325
988,0,0.0225
989,0,0.2025
990,0,0.2425
991,0,0.045
992,0,0.0525
993,0,0.085
994,0,0.04
995,0,0.1525
996,0,0.065
997,1,0.1225
998,0,0.14
999,0,0.0475
1000,0,0.0225
1001,0,0.03
1002,0,0.02
1003,0,0.1675
1004,0,0.1425
1005,1,0.315
1006,0,0.055
1007,0,0.1875
1008,0,0.1225
1009,0,0.085
1010,0,0.0775
1011,0,0.19
1012,0,0.1275
1013,0,0.07
1014,0,0.0875
1015,0,0.0425
1016,0,0.095
1017,0,0.1625
1018,0,0.0575
1019,0,0.1275
1020,0,0.1575
1021,1,0.1175
1022,0,0.075
1023,0,0.1
1024,0,0.015
1025,0,0.0425
1026,0,0.0275
1027,0,0.08
1028,0,0.0275
1029,0,0.0725
1030,0,0.035
1031,1,0.1175
1032,0,0.035
1033,0,0.065
1034,0,0.0925
1035,0,0.0325
1036,0,0.0725
1037,0,0.2125
1038,0,0.1525
1039,0,0.0275
1040,0,0.045
1041,0,0.045
1042,0,0.0725
1043,0,0.0425
1044,1,0.18
1045,1,0.315
1046,0,0.175
1047,0,0.0175
1048,0,0.145
1049,0,0.035
1050,0,0.2125
1051,0,0.0575
1052,0,0.025
1053,0,0.15
1054,0,0.09
1055,0,0.165
1056,0,0.0975
1057,1,0.14
1058,0,0.1725
1059,0,0.0125
1060,0,0.0475
1061,0,0.14
1062,0,0.1025
1063,1,0.115
1064,0,0.0575
1065,0,0.0775
1066,1,0.025
1067,0,0.0875
1068,0,0.1325
1069,0,0.065
1070,0,0.045
1071,0,0.05
1072,0,0.0725
1073,0,0.0725
1074,0,0.155
1075,0,0.0575
1076,0,0.095
1077,0,0.075
1078,0,0.11
1079,0,0.13
1080,0,0.1125
1081,0,0.0725
1082,0,0.0375
1083,0,0.0125
1084,0,0.0025
1085,0,0.05
1086,0,0.045
1087,1,0.19
1088,0,0.0475
1089,0,0.03
1090,0,0.09
1091,0,0.16
1092,0,0.03
1093,0,0.0475
1094,0,0.0925
1095,0,0.12
1096,0,0.2275
1097,0,0.0775
1098,0,0.015
1099,0,0.15
1100,0,0.1525
1101,0,0.1325
1102,0,0.0275
1103,0,0.055
1104,0,0.04
1105,0,0.0575
1106,0,0.0675
1107,0,0.01
1108,0,0.065
1109,0,0.0275
1110,0,0.015
1111,0,0.0575
1112,0,0.0375
1113,0,0.1075
1114,0,0.025
1115,0,0.055
1116,0,0.0725
1117,0,0.09
1118,0,0.11
1119,0,0.04
1120,0,0.0475
1121,0,0.0725
1122,0,0.285
1123,0,0.175
1124,0,0.0325
1125,0,0.0375
1126,0,0.1125
1127,0,0.0925
1128,0,0.0475
1129,0,0.185
1130,0,0.0725
1131,0,0.0875
1132,0,0.0775
1133,0,0.03
1134,0,0.0025
1135,0,0.095
1136,0,0.0325
1137,0,0.055
1138,0,0.165
1139,1,0.175
1140,0,0.0825
1141,0,0.0575
1142,0,0.075
1143,0,0.01
1144,0,0.0775
1145,0,0.2025
1146,0,0.0125
1147,0,0.1575
1148,0,0.0625
1149,0,0.065
1150,0,0.205
1151,0,0.1025
1152,0,0.3
1153,0,0.06
1154,0,0.06
1155,0,0.0725
1156,0,0.0225
1157,0,0.03
1158,0,0.135
1159,0,0.0175
1160,0,0.335
1161,0,0.0125
1162,0,0.055
1163,0,0.105
1164,0,0.14
1165,0,0.07
1166,0,0.075
1167,0,0.0525
1168,0,0.0375
1169,0,0.1125
1170,0,0.09
1171,0,0.2125
1172,0,0.0375
1173,0,0.0675
1174,0,0.1075
1175,1,0.185
1176,0,0.08
1177,0,0.015
1178,0,0.0525
1179,0,0.2575
1180,0,0.0625
1181,0,0.1225
1182,0,0.165
1183,0,0.16
1184,0,0.0975
1185,0,0.1325
1186,0,0.0125
1187,1,0.0625
1188,0,0.025
1189,0,0.01
1190,0,0.0675
1191,0,0.0975
1192,1,0.2475
1193,0,0.0325
1194,0,0.16
1195,0,0.1075
1196,0,0.05
1197,0,0.0825
1198,0,0.025
1199,0,0.0975
1200,0,0.09
1201,0,0.1325
1202,0,0.045
1203,0,0.0325
1204,0,0.0275
1205,0,0.0725
1206,0,0.1025
1207,0,0.07
1208,0,0.06
1209,0,0.06
1210,0,0.0725
1211,0,0.02
1212,0,0.02
1213,0,0.0425
1214,0,0.095
1215,0,0.2025
1216,0,0.005
1217,0,0.0175
1218,0,0.0225
1219,0,0.055
1220,0,0.0975
1221,0,0.1325
1222,0,0.1025
1223,0,0.055
1224,0,0.0525
1225,0,0.1525
1226,0,0.0125
1227,0,0.0325
1228,0,0.11
1229,0,0.13
1230,0,0.0225
1231,0,0.08
1232,0,0.0075
1233,0,0.0125
1234,0,0.1725
1235,0,0.065
1236,0,0.09
1237,0,0.01
1238,1,0.2575
1239,0,0.05
1240,0,0.08
1241,0,0.01
1242,0,0.0175
1243,0,0.0475
1244,1,0.2075
1245,0,0.0775
1246,0,0.1475
1247,0,0.0525
1248,0,0.0475
1249,0,0.0075
1250,0,0.0575
1251,0,0.1025
1252,0,0.17
1253,0,0.075
1254,0,0.0225
1255,0,0.1175
1256,0,0.055
1257,0,0.0675
1258,0,0.2425
1259,0,0.115
1260,0,0.0375
1261,0,0.0425
1262,0,0.1175
1263,0,0.015
1264,0,0.06
1265,0,0.0875
1266,0,0.0275
1267,0,0.1775
1268,0,0.1275
1269,0,0.1625
1270,0,0.13
1271,1,0.0775
1272,0,0.0275
1273,0,0.0325
1274,0,0.08
1275,0,0.0775
1276,0,0.2625
1277,0,0.08
1278,0,0.0675
1279,0,0.04
1280,0,0.175
1281,0,0.0275
1282,0,0.02
1283,1,0.0425
1284,0,0.0675
1285,0,0.0925
1286,0,0.035
1287,0,0.07
1288,0,0.0325
1289,0,0.12
1290,0,0.1025
1291,0,0.115
1292,1,0.155
1293,0,0.0575
1294,1,0.29
1295,0,0.16
1296,0,0.04
1297,0,0.055
1298,0,0.03
1299,0,0.095
1300,0,0.0575
1301,0,0.16
1302,0,0.1025
1303,0,0.0775
1304,0,0.13
1305,0,0.0575
1306,0,0.1125
1307,0,0.0775
1308,0,0.005
1309,0,0.065
1310,0,0.07
1311,0,0.0325
1312,0,0.0725
1313,0,0.1975
1314,0,0.1175
1315,0,0.0425
1316,0,0.0275
1317,0,0.0975
1318,0,0.0675
1319,0,0.155
1320,0,0.1525
1321,0,0.02
1322,0,0.0275
1323,0,0.1025
1324,0,0.0525
1325,0,0.105
1326,0,0.025
1327,0,0.0725
1328,0,0.025
1329,0,0.0425
1330,0,0.0025
1331,0,0.0675
1332,0,0.105
1333,1,0.1125
1334,0,0.1525
1335,0,0.0575
1336,0,0.155
1337,0,0.035
1338,0,0.0525
1339,0,0.05
1340,0,0.1875
1341,0,0.0175
1342,0,0.0525
1343,0,0.14
1344,0,0.025
1345,0,0.03
1346,0,0.11
1347,0,0.0325
1348,0,0.1325
1349,0,0.0525
1350,0,0.055
1351,0,0.0325
1352,1,0.04
1353,0,0.0675
1354,0,0.0925
1355,0,0.0175
1356,0,0.1925
1357,0,0.0875
1358,0,0.045
1359,0,0.045
1360,0,0.0875
1361,0,0.0375
1362,0,0.0475
1363,0,0.0325
1364,0,0.1125
1365,0,0.035
1366,0,0.06
1367,1,0.1925
1368,0,0.0825
1369,0,0.15
1370,0,0.0625
1371,0,0.06
1372,0,0.1175
1373,0,0.11
1374,1,0.0975
1375,1,0.2125
1376,0,0.025
1377,0,0.0775
1378,0,0.125
1379,0,0.2225
1380,1,0.0525
1381,0,0.1325
1382,0,0.1075
1383,0,0.11
1384,0,0.12
1385,0,0.025
1386,0,0.065
1387,0,0.12
1388,0,0.0325
1389,0,0.0925
1390,1,0.3175
1391,0,0.0675
1392,0,0.015
1393,0,0.2575
1394,0,0.09
1395,0,0.0525
1396,0,0.0575
1397,0,0.075
1398,0,0.2025
1399,0,0.125
1400,0,0.1625
1401,0,0.0325
1402,0,0.035
1403,1,0.105
1404,0,0.0325
1405,0,0.0425
1406,0,0.085
1407,1,0.045
1408,1,0.0825
1409,0,0.0375
1410,0,0.045
1411,1,0.1325
1412,0,0.175
1413,1,0.145
1414,0,0.0225
1415,0,0.2825
1416,0,0.11
1417,0,0.06
1418,0,0.085
1419,0,0.06
1420,0,0.1125
1421,0,0.075
1422,0,0.0075
1423,0,0.13
1424,0,0.0825
1425,0,0.1825
1426,0,0.1425
1427,0,0.05
1428,0,0.1425
1429,1,0.05
1430,0,0.11
1431,0,0.0975
1432,0,0.01
1433,0,0.03
1434,0,0.1475
1435,0,0.065
1436,0,0.0875
1437,0,0.0375
1438,1,0.0425
1439,0,0.1
1440,0,0.1575
1441,0,0.025
1442,0,0.0625
1443,0,0.0425
1444,0,0.0425
1445,0,0.1
1446,1,0.0925
1447,0,0.0525
1448,0,0.065
1449,0,0.2375
1450,0,0.02
1451,0,0.02
1452,0,0.105
1453,0,0.0925
1454,0,0.1175
1455,0,0.145
1456,0,0.0525
1457,0,0.0425
1458,0,0.1
1459,0,0.0125
1460,0,0.115
1461,0,0.025
1462,0,0.06
1463,0,0.035
1464,0,0.0575
1465,0,0.045
1466,1,0.1
1467,0,0.0475
1468,0,0.035
1469,0,0.005
1470,0,0.1425
1471,0,0.0275
1472,0,0.045
1473,0,0.0575
1474,0,0.0125
1475,0,0.085
1476,0,0.06
1477,0,0.11
1478,0,0.2075
1479,1,0.13
1480,0,0.045
1481,0,0.05
1482,0,0.145
1483,0,0.0525
1484,0,0.07
1485,0,0.0675
1486,0,0.0025
1487,0,0.11
1488,0,0.2175
1489,0,0.0775
1490,0,0.0625
1491,1,0.1975
1492,0,0.0675
1493,0,0.1625
1494,0,0.0975
1495,0,0.165
1496,0,0.0425
1497,0,0.055
1498,0,0.035
1499,0,0.1175
1500,0,0.055
1501,0,0.075
1502,0,0.1075
1503,0,0.1575
1504,0,0.015
1505,0,0.1075
1506,0,0.095
1507,0,0.1075
1508,0,0.0975
1509,0,0.025
1510,0,0.0475
1511,0,0.075
1512,0,0.125
1513,0,0.01
1514,0,0.0425
1515,0,0.0425
1516,0,0.0275
1517,0,0.0225
1518,0,0.0725
1519,0,0.17
1520,0,0.06
1521,0,0.03
1522,0,0.0175
1523,0,0.035
1524,0,0.1375
1525,0,0.05
1526,0,0.0375
1527,0,0.055
1528,0,0.02
1529,0,0.03
1530,0,0.155
1531,0,0.065
1532,0,0.0875
1533,0,0.065
1534,0,0.13
1535,0,0.04
1536,0,0.0725
1537,1,0.165
1538,0,0.08
1539,0,0.035
1540,0,0.06
1541,0,0.0625
1542,0,0.0225
1543,1,0.1725
1544,0,0.1425
1545,0,0.08
1546,0,0.0925
1547,0,0.02
1548,0,0.0075
1549,0,0.1575
1550,1,0.2875
1551,0,0.07
1552,0,0.065
1553,0,0.0625
1554,0,0.0175
1555,0,0.1875
1556,0,0.02
1557,0,0.1275
1558,0,0.0375
1559,0,0.07
1560,0,0.0125
1561,0,0.065
1562,0,0.1425
1563,1,0.055
1564,1,0.045
1565,0,0.065
1566,0,0.03
1567,0,0.1025
1568,0,0.0675
1569,0,0.0875
1570,0,0.1675
